iter	Passed	Remaining
0	153	153502
1	154	77040
2	155	51528
3	155	38743
4	156	31074
5	156	25966
6	157	22315
7	157	19581
8	158	17453
9	159	15747
10	159	14358
11	160	13196
12	160	12210
13	161	11372
14	162	10639
15	162	9999
16	163	9436
17	163	8933
18	164	8486
19	164	8082
20	165	7718
21	166	7389
22	166	7086
23	167	6809
24	168	6558
25	168	6330
26	170	6152
27	171	5946
28	171	5754
29	172	5579
30	173	5415
31	173	5260
32	174	5117
33	175	4979
34	175	4850
35	176	4727
36	177	4610
37	177	4498
38	178	4395
39	178	4295
40	179	4200
41	180	4110
42	180	4023
43	181	3939
44	181	3858
45	182	3782
46	183	3711
47	183	3642
48	184	3577
49	184	3513
50	185	3452
51	186	3392
52	186	3335
53	187	3281
54	187	3227
55	188	3176
56	189	3127
57	189	3080
58	190	3034
59	190	2988
60	191	2945
61	191	2902
62	192	2861
63	192	2821
64	193	2783
65	194	2746
66	194	2709
67	195	2674
68	195	2640
69	196	2606
70	196	2576
71	197	2546
72	198	2516
73	198	2486
74	199	2458
75	199	2429
76	200	2401
77	200	2373
78	201	2347
79	201	2321
80	202	2296
81	202	2272
82	203	2245
83	203	2223
84	204	2201
85	205	2179
86	205	2158
87	206	2137
88	206	2117
89	207	2097
90	208	2078
91	208	2059
92	209	2041
93	209	2022
94	210	2003
95	210	1985
96	211	1967
97	212	1952
98	212	1937
99	213	1921
100	214	1906
101	214	1890
102	215	1875
103	215	1860
104	216	1845
105	216	1829
106	217	1815
107	218	1801
108	218	1787
109	219	1774
110	219	1760
111	220	1748
112	221	1735
113	221	1722
114	222	1709
115	222	1697
116	223	1684
117	223	1673
118	224	1662
119	225	1650
120	225	1639
121	226	1628
122	226	1617
123	227	1607
124	228	1598
125	228	1587
126	229	1576
127	230	1567
128	230	1558
129	231	1548
130	231	1538
131	232	1528
132	232	1518
133	233	1508
134	234	1500
135	234	1491
136	235	1482
137	235	1473
138	236	1464
139	237	1456
140	237	1447
141	237	1437
142	238	1428
143	238	1420
144	239	1411
145	240	1404
146	240	1396
147	241	1389
148	242	1382
149	242	1376
150	243	1368
151	243	1361
152	244	1353
153	245	1346
154	245	1339
155	246	1332
156	246	1326
157	247	1319
158	248	1312
159	248	1305
160	249	1297
161	249	1290
162	250	1284
163	250	1278
164	251	1272
165	252	1266
166	252	1260
167	253	1254
168	253	1248
169	254	1242
170	254	1235
171	255	1229
172	255	1223
173	256	1217
174	257	1212
175	257	1207
176	258	1201
177	258	1195
178	259	1190
179	260	1184
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	262	1158
185	263	1152
186	263	1147
187	264	1142
188	265	1137
189	265	1133
190	266	1128
191	266	1123
192	267	1118
193	268	1114
194	268	1109
195	269	1104
196	269	1100
197	270	1095
198	271	1091
199	271	1087
200	272	1083
201	273	1079
202	273	1074
203	274	1070
204	274	1066
205	275	1061
206	276	1057
207	276	1053
208	277	1049
209	277	1044
210	278	1040
211	278	1037
