iter	Passed	Remaining
0	165	165111
1	165	82780
2	166	55308
3	166	41570
4	167	33352
5	168	27871
6	168	23951
7	169	21007
8	169	18714
9	170	16881
10	171	15380
11	171	14131
12	172	13074
13	172	12166
14	173	11379
15	173	10698
16	174	10092
17	175	9555
18	176	9090
19	176	8666
20	177	8275
21	178	7916
22	178	7595
23	179	7301
24	180	7025
25	180	6773
26	181	6538
27	182	6323
28	182	6117
29	183	5925
30	183	5747
31	184	5581
32	185	5425
33	185	5275
34	186	5136
35	186	5005
36	187	4880
37	188	4760
38	188	4648
39	189	4542
40	189	4441
41	190	4349
42	191	4260
43	192	4175
44	192	4095
45	193	4018
46	194	3945
47	195	3873
48	195	3802
49	196	3735
50	197	3668
51	197	3603
52	198	3542
53	198	3483
54	199	3429
55	200	3375
56	200	3323
57	201	3274
58	202	3226
59	202	3178
60	203	3133
61	204	3092
62	205	3054
63	206	3013
64	206	2974
65	207	2935
66	208	2897
67	208	2860
68	209	2824
69	209	2788
70	210	2754
71	211	2721
72	211	2688
73	212	2657
74	212	2626
75	213	2597
76	214	2568
77	214	2540
78	215	2512
79	216	2484
80	216	2458
81	217	2432
82	217	2404
83	218	2378
84	219	2358
85	220	2341
86	221	2320
87	221	2298
88	222	2279
89	223	2258
90	223	2237
91	224	2216
92	225	2195
93	225	2175
94	226	2156
95	227	2137
96	227	2118
97	228	2100
98	228	2083
99	229	2065
100	230	2048
101	230	2030
102	231	2013
103	231	1998
104	232	1982
105	233	1966
106	234	1956
107	235	1943
108	236	1930
109	236	1916
110	237	1902
111	238	1888
112	238	1873
113	239	1860
114	240	1847
115	240	1834
116	241	1820
117	241	1808
118	242	1795
119	243	1782
120	243	1769
121	244	1756
122	244	1744
123	245	1732
124	245	1720
125	246	1708
126	246	1696
127	247	1685
128	248	1674
129	248	1665
130	249	1657
131	250	1647
132	251	1637
133	251	1626
134	252	1617
135	253	1607
136	253	1598
137	254	1588
138	254	1578
139	255	1569
140	255	1559
141	256	1548
142	256	1539
143	257	1530
144	258	1521
145	258	1513
146	259	1504
147	259	1495
148	260	1488
149	261	1479
150	261	1471
151	262	1463
152	262	1455
153	264	1451
154	265	1444
155	265	1437
156	266	1430
157	267	1423
158	267	1416
